,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,0.00019181416081777547,3.7098040566513225e-05,7.901084503098939e-16,0.2510555020060451,0.042873027080484995,1.0678411600095073e-271,2.514125619745451e-06,0.015218257940322322,0.15264446260414333,2.990448133950431e-23,7.655641857153476e-10,5.944920821954261e-22,0.00030193956616341496,4.658066367068654e-23
Complexity,0.00019181416081777498,0.0,1.7377954931672214e-50,0.6328463302381669,0.17243485645447135,1.1157054825582109e-75,0.4016678813295402,0.10087213807984043,1.0978305036990254e-25,0.04081587376638695,1.742755884735673e-05,1.3312858997468262e-22,1.842391388515088e-45,0.0,0.006820088549107049
Consistency,3.7098040566513225e-05,1.7377954931672872e-50,0.0,3.050470516558544e-31,0.98401727323686,4.988728347582647e-15,7.636050878812932e-13,1.057536739703229e-54,5.331968838615491e-15,0.7184050274618042,0.006231223772650568,0.05445982991913712,0.012718750775365148,3.540745890975141e-51,6.975186844528525e-71
Faithfulness,7.90108450309902e-16,0.6328463302381669,3.050470516558544e-31,0.0,0.0001793058886014783,1.2041564036717478e-15,1.2547788515276866e-10,4.06717290714587e-05,0.006212849805886562,0.0011951541364086766,1.1317311854985944e-22,0.0018497156698131837,0.009119747647929216,0.7362615471824752,1.499385046635086e-32
FaithfulnessEstimate,0.2510555020060451,0.17243485645447135,0.98401727323686,0.00017930588860147828,0.0,0.14932035404404553,0.7247197493219601,0.12443637280389155,0.0058938967285963135,0.9313893085368913,3.4193420776774276e-10,0.0518260176305771,0.7350526796100261,0.1372817563571095,0.2804385163478209
LocalLipschitzEstimate,0.042873027080484995,1.1157054825582109e-75,4.9887283475826955e-15,1.2041564036717478e-15,0.14932035404404553,0.0,4.130703640573358e-07,0.034932178398192265,0.0035931589421162383,0.10898083590613684,8.523810600382346e-09,1.5540754703286874e-10,1.6001904914412646e-06,5.963735741026688e-74,0.33491394348164144
MaxSensitivity,1.0678411600095073e-271,0.4016678813295402,7.636050878812932e-13,1.2547788515276866e-10,0.7247197493219601,4.130703640573358e-07,0.0,4.883054061933789e-05,0.00324823884261977,0.013615155991769278,1.2392331765674391e-13,6.589983541920413e-18,1.3532209089395976e-27,0.4702033376151634,2.983798178827896e-30
Monotonicity,2.514125619745451e-06,0.10087213807984043,1.0575367397032704e-54,4.06717290714587e-05,0.12443637280389155,0.03493217839819223,4.883054061933789e-05,0.0,0.38603586073769697,0.4142337262992192,1.4219434909850575e-14,0.0005380546653033696,9.402100716336378e-06,0.09904148767406347,2.165473040796661e-08
MonotonicityCorrelation,0.015218257940322322,1.0978305036990254e-25,5.331968838615436e-15,0.006212849805886549,0.0058938967285963135,0.0035931589421162383,0.0032482388426197766,0.38603586073769697,0.0,0.130717575614583,0.45234286677913466,0.7452053411020922,0.07359003663782315,1.3821048783922979e-26,1.2654229577750164e-13
MonotonicityMetric,0.15264446260414333,0.04081587376638695,0.7184050274618042,0.0011951541364086766,0.9313893085368913,0.10898083590613677,0.013615155991769278,0.4142337262992192,0.130717575614583,0.0,0.00024988149750558873,0.3287526615020424,0.004302700412098143,0.022723040653602432,0.8202417156673586
NonSensitivity,2.990448133950431e-23,1.742755884735673e-05,0.006231223772650568,1.1317311854985944e-22,3.419342077677427e-10,8.523810600382286e-09,1.2392331765674391e-13,1.421943490985043e-14,0.45234286677913466,0.00024988149750558873,0.0,5.3119911093496604e-05,0.0007223184909933177,8.475632940678784e-06,0.1986890346233818
RelativeInputStability,7.655641857153476e-10,1.331285899746793e-22,0.05445982991913717,0.0018497156698131837,0.0518260176305771,1.5540754703286874e-10,6.589983541920413e-18,0.0005380546653033696,0.7452053411020922,0.3287526615020424,5.3119911093496604e-05,0.0,4.1684258890308823e-122,1.702945855698112e-22,0.6881880440354388
RelativeOutputStability,5.944920821954261e-22,1.842391388515088e-45,0.012718750775365148,0.009119747647929216,0.7350526796100261,1.6001904914412646e-06,1.3532209089395976e-27,9.402100716336378e-06,0.07359003663782315,0.004302700412098143,0.0007223184909933177,4.1684258890308823e-122,0.0,5.7649090228810104e-46,0.0003834574188771609
Sparseness,0.00030193956616341496,0.0,3.540745890975141e-51,0.7362615471824752,0.1372817563571095,5.963735741026688e-74,0.4702033376151634,0.09904148767406347,1.3821048783922979e-26,0.022723040653602415,8.475632940678733e-06,1.702945855698112e-22,5.764909022881426e-46,0.0,0.003129466807075407
Sufficiency,4.658066367068654e-23,0.006820088549107049,6.975186844527899e-71,1.499385046635041e-32,0.2804385163478209,0.3349139434816413,2.9837981788278097e-30,2.165473040796661e-08,1.265422957775028e-13,0.8202417156673587,0.1986890346233818,0.688188044035439,0.0003834574188771617,0.003129466807075407,0.0
