metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.9182477320085699,5.258455730882968e-221,546,0.9182477320085699,True
RelativeInputStability,RelativeOutputStability,0.654674456747913,2.2840014724614937e-31,245,0.654674456747913,True
NonSensitivity,RelativeInputStability,-0.5936198386239487,1.7594389319391618e-25,253,0.5936198386239487,True
NonSensitivity,Sparseness,0.5586900926584767,3.854548249118199e-46,546,0.5586900926584767,True
Complexity,RelativeInputStability,-0.524367148116509,2.8377806057848227e-19,253,0.524367148116509,True
Sparseness,Sufficiency,-0.49474344415350113,4.7263247442443455e-35,546,0.49474344415350113,True
Consistency,RelativeInputStability,0.467069648331893,4.102496518075916e-15,253,0.467069648331893,True
Complexity,RelativeOutputStability,-0.4396524591213473,2.750322531794323e-13,251,0.4396524591213473,True
Consistency,NonSensitivity,-0.427314975622063,1.2083665432021946e-25,546,0.427314975622063,True
AvgSensitivity,Complexity,0.3698556845384722,3.83939247561009e-19,546,0.3698556845384722,True
Consistency,Sparseness,-0.34306306855764473,1.5902242571162494e-16,546,0.34306306855764473,True
Complexity,NonSensitivity,0.31821551284663274,2.5867017372483284e-14,546,0.31821551284663274,True
Complexity,Sufficiency,0.30965426542881375,1.3446264478505667e-13,546,0.30965426542881375,True
Complexity,Sparseness,-0.30658211873459135,2.3981329912593803e-13,546,0.30658211873459135,True
AvgSensitivity,LocalLipschitzEstimate,0.30282881836476927,4.818128245234339e-13,546,0.30282881836476927,True
Complexity,MaxSensitivity,0.3027398062646829,4.89791748119093e-13,546,0.3027398062646829,True
RelativeInputStability,Sparseness,-0.2916514217831822,2.369809637935253e-06,253,0.2916514217831822,True
RelativeOutputStability,Sufficiency,-0.2826580394852206,5.392810786569465e-06,251,0.2826580394852206,True
LocalLipschitzEstimate,MonotonicityCorrelation,0.26173620040196555,5.282744371750595e-10,546,0.26173620040196555,True
AvgSensitivity,NonSensitivity,0.2603587411371656,6.549486880662415e-10,546,0.2603587411371656,True
Consistency,Sufficiency,0.2591781245638649,7.866567710871572e-10,546,0.2591781245638649,True
NonSensitivity,Sufficiency,-0.25768659328685245,9.902707640980556e-10,546,0.25768659328685245,True
Complexity,Consistency,-0.25088386542195307,2.7779879383853796e-09,546,0.25088386542195307,True
AvgSensitivity,Sufficiency,0.24001252727559677,1.3576521365224041e-08,546,0.24001252727559677,True
LocalLipschitzEstimate,RelativeInputStability,0.2281382317328911,0.0002530403644839735,253,0.2281382317328911,True
LocalLipschitzEstimate,MaxSensitivity,0.21610032517690048,3.426636287562667e-07,546,0.21610032517690048,True
MaxSensitivity,NonSensitivity,0.19847636750887884,2.958610506269916e-06,546,0.19847636750887884,True
MonotonicityCorrelation,RelativeOutputStability,-0.18648122513967064,0.0030196558922479643,251,0.18648122513967064,True
MaxSensitivity,Sufficiency,0.18559108163738156,1.2731093353674406e-05,546,0.18559108163738156,True
AvgSensitivity,Sparseness,-0.1825163518824734,1.7777731539267618e-05,546,0.1825163518824734,True
Consistency,Faithfulness,-0.17757711868938958,3.0050594922357704e-05,546,0.17757711868938958,True
RelativeOutputStability,Sparseness,0.1756877330348465,0.005250213851726425,251,0.1756877330348465,True
MaxSensitivity,Sparseness,-0.1745706748977501,4.108069019638503e-05,546,0.1745706748977501,True
LocalLipschitzEstimate,Sparseness,-0.16841289301015083,7.669315147731336e-05,546,0.16841289301015083,True
MaxSensitivity,MonotonicityCorrelation,-0.16563358716664614,0.00010094041522381431,546,0.16563358716664614,True
Complexity,FaithfulnessEstimate,0.1586483070653587,0.0001975089251234895,546,0.1586483070653587,True
Consistency,MonotonicityCorrelation,-0.14803442213532492,0.0005199199538597223,546,0.14803442213532492,True
Faithfulness,FaithfulnessEstimate,0.1453696932075712,0.0006564934251648142,546,0.1453696932075712,True
