,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,1837003653.8668466,36547665680.61412,2.181174783594487,743656001187.0403,743656001184.8591,132,24.175824175824175,414
RelativeInputStability,80.3415139813085,468.4316594802585,1.5031538255212568e-05,4780.576064186793,4780.576049155255,131,23.992673992673993,415
LocalLipschitzEstimate,4.854635030043262,3.4224162719308064,0.6451145283114639,18.279381622265387,17.634267093953923,0,0.0,546
MaxSensitivity,2.5910177486591635,2.7061674222930496,0.0880311028565874,19.81692276296681,19.728891660110225,0,0.0,546
NonSensitivity,2.304029304029304,2.414608117018728,0.0,10.0,10.0,0,0.0,11
AvgSensitivity,1.2275027278303667,1.0886852051729543,0.0591946443189099,8.398555590917727,8.339360946598818,0,0.0,546
Faithfulness,-0.1849471403176165,0.5045213941142608,-0.998961162133646,0.98452397963092,1.983485141764566,0,0.0,546
FaithfulnessEstimate,-0.039309798678031346,0.47675848663721127,-0.9641941089186584,0.9400736356817038,1.9042677446003622,0,0.0,546
Complexity,1.7374623106783602,0.46466152247156817,0.6343558708423657,2.612901616389348,1.9785457455469824,0,0.0,539
Sufficiency,0.652492573064732,0.45992553502216066,0.0,1.0,1.0,0,0.0,71
MonotonicityCorrelation,0.17550084500555824,0.3399850702723405,-1.0,0.9642857142857144,1.9642857142857144,0,0.0,313
Consistency,0.9271015472798704,0.17850286219360625,0.0243902439018441,0.999999999984127,0.975609756082283,0,0.0,8
Sparseness,0.5436519919381071,0.15007953686785372,0.2098782034171828,0.8404778673666299,0.6305996639494471,0,0.0,539
