dataset_name,model_name,observation,metric_params,LIME,SHAP
AHU21,AutoEncoder,10163,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.232902179749935,1.872987316611347
AHU21,AutoEncoder,10164,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.2178184048353655,1.597672252038608
AHU21,AutoEncoder,10165,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.66209774635425,1.538570056274398
AHU21,AutoEncoder,10172,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.400999240958329,1.7814281153949927
AHU21,AutoEncoder,10173,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.591553332048228,1.2851610732826146
AHU21,AutoEncoder,10174,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.325371076928406,1.0151753664989394
AHU21,AutoEncoder,10176,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.098401322297972,1.6438674346062239
AHU21,AutoEncoder,10177,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.112505158712104,1.9513626323585762
AHU21,AutoEncoder,10184,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.094551236310458,1.9087175214655971
AHU21,AutoEncoder,10185,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.112643337143804,1.1970295431579503
AHU21,AutoEncoder,10187,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.970280231512202,2.231656107438955
AHU21,AutoEncoder,10188,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.724519805579687,2.2444778417699154
AHU21,AutoEncoder,10191,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.480544041169187,1.9252141209909748
AHU21,AutoEncoder,10197,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.21752342908164,1.5031026869174549
AHU21,AutoEncoder,43465,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.220730280672908,1.5219237358196622
AHU21,AutoEncoder,60712,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",10.451402160215821,1.3312070269950016
AHU21,AutoEncoder,62404,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.023584412754074,2.018197320089289
AHU21,AutoEncoder,64473,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.4931852600058715,1.7150779374065892
AHU21,AutoEncoder,64783,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.157676889557843,1.4395176907428624
AHU21,AutoEncoder,64795,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.694749900171532,1.4637430731648364
AHU21,AutoEncoder,64796,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.194180510785088,1.6016961866033563
AHU21,AutoEncoder,64813,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.271511524126114,1.6706478680985961
AHU21,AutoEncoder,77140,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.326515864703984,1.66605208310057
AHU21,AutoEncoder,77146,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.483043845518186,1.2551302773345199
AHU21,AutoEncoder,77154,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.251131077441224,1.544795674272997
AHU21,AutoEncoder,98666,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.0418229440798505,1.9787653752876049
AHU21,AutoEncoder,98980,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.491641558888815,1.9081062208358999
AHU21,AutoEncoder,102428,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.714554886833496,1.6312333733186315
AHU21,AutoEncoder,102433,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.693192622338189,1.3688772260078215
AHU21,AutoEncoder,102436,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.74923586691803,2.0173821759457495
AHU21,AutoEncoder,159787,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.116191747142679,2.58034850684055
AHU21,AutoEncoder,159795,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.558626770077763,1.6981616945546851
AHU21,AutoEncoder,159801,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.497443856706803,1.8359602995990694
AHU21,AutoEncoder,160706,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.991577075804757,1.8866924557064126
AHU21,AutoEncoder,160745,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.697035954329925,2.527417828637226
AHU21,AutoEncoder,160807,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.8354397610128235,1.7613317086885123
AHU21,AutoEncoder,161562,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.900159841711829,0.9937629877978923
AHU21,AutoEncoder,161591,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.383837106135731,1.7345850454343297
AHU21,AutoEncoder,161616,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",13.389116082023172,2.4325245051480353
AHU21,AutoEncoder,162843,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.421449434592704,2.683573714983124
AHU21,AutoEncoder,165865,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.4902920277457925,0.9570909453662916
AHU21,AutoEncoder,165869,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.412689405964662,1.4155047844946937
AHU21,AutoEncoder,165877,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.254771143316295,1.2576805187618252
AHU21,AutoEncoder,169883,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.464580851201638,1.5788435534900864
AHU21,AutoEncoder,169892,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.002743179918583,1.849094939950366
AHU21,AutoEncoder,169895,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.6562104070358865,1.3828579970730503
AHU21,AutoEncoder,169899,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.613659900981931,1.0855715324710395
AHU21,AutoEncoder,169905,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.791268991429647,1.7434535385064394
AHU21,AutoEncoder,186820,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.241288592305304,2.0352657433519474
AHU21,AutoEncoder,186832,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.86404757779746,1.8654982839217733
AHU21,AutoEncoder,189380,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.377254325333045,0.9637942405978205
AHU21,AutoEncoder,190545,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.238392302548792,1.65529492364635
AHU21,AutoEncoder,190554,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.387309911633974,1.3598744058962002
AHU21,AutoEncoder,190572,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.796337061662599,1.2202506348187934
AHU21,AutoEncoder,191102,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.116383470905566,1.160312094518914
AHU21,AutoEncoder,191529,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.901927316801599,1.831817450368154
AHU21,AutoEncoder,192043,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",8.730248643855635,1.6576751565025012
AHU21,AutoEncoder,192734,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.110755358255519,1.487317726514829
AHU21,AutoEncoder,198708,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.099916426829935,2.5473061356235953
AHU21,AutoEncoder,198816,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",9.33825264597162,1.5849317383471682
AHU21,AutoEncoder,198840,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.6844205392758935,1.5534124901809605
AHU21,AutoEncoder,210411,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",7.649791398141644,1.105959485681292
AHU21,AutoEncoder,239412,"{""abs"": false, ""normalise"": true, ""nr_samples"": 100, ""perturb_mean"": 0.0, ""perturb_std"": 0.1}",6.242226538098861,1.5778629405973907
